generation,population size,mutation rate,generations,fitness,best path
132,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 0, 1, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 2, 1, 2, 0, 1, 0, 2, 3, 3, 0, 1, 3, 2, 1, 1, 2, 3, 0, 0, 3, 0, 2, 3, 2, 1, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
136,1000,0.2,150,4300,"[0, 1, 2, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 2, 2, 2, 2, 1, 2, 3, 1, 0, 2, 1, 2, 2, 0, 1, 0, 0, 1, 2, 3, 3, 0, 1, 1, 3, 1, 0, 2, 3, 0, 2, 3, 0, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 1, 0, 0, 0, 0, 3, 0, 0, 3]"
147,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 3, 0, 2, 0, 0, 3, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 0, 1, 2, 1, 3, 1, 0, 1, 1, 0, 0, 1, 3, 3, 0, 2, 2, 2, 1, 0, 3, 2, 0, 2, 3, 0, 2, 2, 2, 1, 2, 0, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 3]"
148,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 3, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 2, 1, 2, 2, 2, 2, 2, 3, 2, 1, 3, 1, 3, 1, 2, 1, 1, 0, 1, 2, 2, 2, 0, 0, 2, 3, 1, 0, 3, 0, 0, 1, 3, 0, 2, 2, 2, 1, 2, 0, 2, 2, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 3]"
149,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 3, 0, 2, 0, 0, 3, 0, 2, 0, 0, 0, 2, 1, 2, 2, 2, 2, 1, 3, 2, 1, 3, 1, 3, 1, 2, 1, 1, 0, 1, 2, 2, 2, 0, 0, 2, 3, 1, 0, 3, 0, 0, 1, 3, 0, 2, 2, 2, 1, 2, 0, 2, 2, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 3]"
150,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 3, 0, 2, 0, 0, 3, 0, 0, 0, 2, 0, 2, 1, 2, 1, 2, 2, 0, 1, 2, 1, 3, 1, 3, 1, 2, 1, 1, 0, 0, 2, 3, 1, 0, 2, 2, 3, 1, 0, 3, 3, 0, 2, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 3]"
63,1000,0.2,150,4290,"[0, 0, 0, 2, 3, 2, 3, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 3, 3, 0, 1, 2, 1, 3, 0, 2, 2, 2, 2, 3, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 2, 2, 2, 3, 2, 0, 1, 3, 2, 2, 1, 0, 0, 1, 0, 2, 0, 1, 3, 0, 0, 3, 3, 2, 0, 0, 3, 3]"
123,1000,0.2,150,4250,"[0, 0, 0, 1, 0, 2, 2, 3, 0, 2, 2, 1, 2, 2, 1, 0, 0, 3, 2, 0, 0, 2, 3, 0, 0, 3, 2, 1, 2, 1, 3, 2, 3, 3, 0, 1, 0, 2, 2, 2, 0, 2, 3, 0, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 2, 2, 0, 0, 0, 3, 3, 3, 3, 3]"
124,1000,0.2,150,4250,"[0, 0, 0, 1, 0, 2, 2, 3, 0, 2, 2, 1, 3, 2, 1, 0, 0, 2, 2, 0, 0, 2, 3, 0, 0, 3, 2, 1, 2, 1, 3, 2, 3, 3, 0, 1, 0, 2, 2, 2, 0, 2, 3, 0, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 2, 2, 0, 0, 0, 3, 3, 3, 3, 3]"
56,1000,0.2,150,4220,"[0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 2, 2, 3, 0, 0, 2, 0, 2, 2, 2, 3, 3, 3, 2, 2, 0, 2, 2, 3, 2, 3, 3, 1, 2, 2, 1, 2, 0, 0, 3, 0, 2, 1, 1, 1, 2, 3, 1, 3, 0, 0, 3, 3, 0, 1, 2, 2, 0, 3, 0, 0, 0, 2, 3]"
60,1000,0.2,150,4220,"[0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 2, 2, 3, 0, 0, 1, 2, 2, 1, 2, 3, 3, 3, 2, 2, 0, 2, 2, 3, 2, 3, 2, 0, 1, 2, 2, 2, 0, 0, 3, 0, 0, 1, 1, 1, 2, 3, 1, 3, 0, 0, 3, 3, 0, 1, 0, 2, 2, 3, 0, 0, 0, 2, 2]"
